iter	Passed	Remaining
0	1	99
1	1	65
2	1	52
3	1	43
4	2	40
5	2	38
6	2	37
7	3	35
8	3	34
9	3	33
10	3	32
11	4	31
12	4	31
13	4	30
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	6	27
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	24
29	10	23
30	10	23
31	10	22
32	11	22
33	11	21
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	18	15
54	18	15
55	22	17
56	22	17
57	24	17
58	24	17
59	25	17
60	26	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	29	14
67	29	14
68	30	13
69	30	13
70	30	12
71	31	12
72	31	11
73	32	11
74	32	10
75	32	10
76	33	9
77	33	9
78	33	8
79	34	8
80	34	8
81	34	7
82	35	7
83	35	6
84	36	6
85	36	6
86	37	5
87	37	5
88	37	4
89	38	4
90	38	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	40	0
99	40	0
